ID,LivingWithChildren
1,0
2,0
3,4
4,0
5,0
6,0
7,1
8,3
9,1
10,0
11,2
12,0
13,0
14,6
15,0
16,2
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,4
25,0
26,0
27,0
28,0
29,0
30,2
31,0
32,3
33,2
34,0
35,3
36,4
37,2
38,4
39,2
40,4
41,4
42,4
43,3
44,4
45,2
46,3
47,3
48,4
49,2
50,5
51,3
52,3
53,2
54,1
55,0
56,1
57,3
58,2
59,0
60,2
61,2
62,0
66,2
64,5
65,2
66,3
67,0
68,0
69,0
70,2
71,2
72,1
73,3
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,3
85,2
86,0
87,1
88,6
89,0
90,0
91,2
92,0
93,0
94,1
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,2
105,2
106,0
107,0
108,0
109,3
110,1
111,0
112,1
113,1
114,2
115,0
116,0
117,2
118,5
119,3
120,1
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,3
135,0
136,0
137,0
138,2
139,0
140,3
141,0
142,0
143,3
144,2
145,3
146,4
147,0
148,3
149,2
150,1
151,0
