ID,Weight
1,210
2,156
3,196
4,191
5,159
6,252
7,162
8,188
9,203
10,198
11,110
12,157
13,266
14,149
15,110
16,155
17,240
18,185
19,174
20,185
21,165
22,144
23,152
24,192
25,160
26,197
27,231
28,214
29,166
30,212
31,175
32,133
33,204
34,179
35,213
36,127
37,144
38,283
39,188
40,200
41,278
42,244
43,118
44,265
45,164
46,181
47,209
48,268
49,221
50,217
51,214
52,133
53,160
54,237
55,169
56,150
57,133
58,154
59,234
60,215
61,206
62,199
66,186
64,201
65,196
66,249
67,177
68,193
69,193
70,300
71,191
72,177
73,217
74,293
75,218
76,213
77,167
78,208
79,234
80,204
81,264
82,198
83,232
84,149
85,250
86,148
87,211
88,224
89,191
90,124
91,118
92,303
93,149
94,126
95,301
96,306
97,263
98,174
99,217
100,272
101,335
102,238
103,175
104,220
105,217
106,186
107,172
108,147
109,270
110,207
111,233
112,268
113,373
114,115
115,202
116,200
117,156
118,167
119,141
120,112
121,247
122,194
123,136
124,166
125,200
126,176
127,164
128,195
129,183
130,161
131,237
132,175
133,176
134,145
135,246
136,278
137,140
138,242
139,271
140,207
141,124
142,117
143,228
144,192
145,251
146,186
147,192
148,205
149,233
150,205
151,216
